Gm#,Date,Tm,D/N,Attendance
153,Wednesday Sep 18,BOS,N,38540
154,Thursday Sep 19,BOS,N,36436
155,Friday Sep 20,BOS,N,37215
156,Saturday Sep 21,BOS,N,37569
157,Sunday Sep 22,BOS,D,37020
1,Thursday Apr 5,CHC,D,41176
2,Saturday Apr 7,CHC,D,40102
3,Sunday Apr 8,CHC,D,31973
4,Monday Apr 9,CHC,N,38136
5,Tuesday Apr 10,CHC,N,37265
6,Wednesday Apr 11,CHC,D,34044
7,Thursday Apr 12,CHC,D,36311
14,Friday Apr 20,CHC,D,37782
15,Saturday Apr 21,CHC,D,38405
16,Sunday Apr 22,CHC,D,35801
17,Monday Apr 23,CHC,N,37794
18,Tuesday Apr 24,CHC,N,38894
19,Wednesday Apr 25,CHC,D,34894
26,Friday May 4,CHC,D,37332
27,Saturday May 5,CHC,D,39874
28,Sunday May 6,CHC,D,38125
29,Monday May 7,CHC,N,36307
30,Tuesday May 8,CHC,N,38523
31,Wednesday May 9,CHC,D,31904
37,Wednesday May 16,CHC,N,38678
38,Thursday May 17,CHC,N,37986
39,Friday May 18,CHC,D,34937
40,Saturday May 19,CHC,N,40228
41,Sunday May 20,CHC,D,38374
48,Monday May 28,CHC,D,38452
49,Tuesday May 29,CHC,D,35219
50,Wednesday May 30,CHC,D,38516
61,Tuesday Jun 12,CHC,N,41164
62,Wednesday Jun 13,CHC,N,41326
63,Thursday Jun 14,CHC,D,42292
64,Friday Jun 15,CHC,D,40073
65,Saturday Jun 16,CHC,N,40766
66,Sunday Jun 17,CHC,N,38531
73,Monday Jun 25,CHC,N,34092
74,Tuesday Jun 26,CHC,N,34064
75,Wednesday Jun 27,CHC,D,35837
76,Friday Jun 29,CHC,D,32891
77,Saturday Jun 30,CHC,D,37906
78,Sunday Jul 1,CHC,D,37389
86,Friday Jul 13,CHC,N,36878
87,Saturday Jul 14,CHC,D,38068
88,Sunday Jul 15,CHC,D,36659
89,Tuesday Jul 17,CHC,N,34397
90,Wednesday Jul 18,CHC,N,34934
91,Thursday Jul 19,CHC,D,32741
98,Friday Jul 27,CHC,D,40778
99,Saturday Jul 28,CHC,D,41276
100,Sunday Jul 29,CHC,D,39534
101,Monday Jul 30,CHC,N,33337
102,Tuesday Jul 31,CHC,N,33158
103,Wednesday Aug 1,CHC,D,33014
110,Thursday Aug 9,CHC,N,33397
111,Friday Aug 10,CHC,D,36891
112,Saturday Aug 11,CHC,D,40602
113,Sunday Aug 12,CHC,D,35461
114,Monday Aug 13,CHC,N,31452
115,Tuesday Aug 14,CHC,N,33376
116,Wednesday Aug 15,CHC,D,33714
124,Friday Aug 24,CHC,D,31255
125,Saturday Aug 25,CHC,D,35296
126,Sunday Aug 26,CHC,D,32346
127,Monday Aug 27,CHC,N,32541
128,Tuesday Aug 28,CHC,N,30017
129,Wednesday Aug 29,CHC,N,33271
130,Thursday Aug 30,CHC,D,28859
131,Friday Aug 31,CHC,D,32476
132,Saturday Sep 1,CHC,D,32477
133,Sunday Sep 2,CHC,D,39760
144,Friday Sep 14,CHC,D,26946
145,Saturday Sep 15,CHC,D,32774
146,Sunday Sep 16,CHC,D,33559
147,Monday Sep 17,CHC,N,33017
148,Tuesday Sep 18,CHC,N,32547
149,Wednesday Sep 19,CHC,N,31001
150,Thursday Sep 20,CHC,D,25891
151,Friday Sep 21,CHC,D,29100
152,Saturday Sep 22,CHC,D,40298
153,Sunday Sep 23,CHC,D,33354
160,Monday Oct 1,CHC,N,32167
161,Tuesday Oct 2,CHC,N,33168
162,Wednesday Oct 3,CHC,D,27606
